Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 3 | IDs permitidos: 3,7
Segmento: 3 | IDs permitidos: 3,7
Segmento: 3 | IDs permitidos: 3,7
Segmento: 3 | IDs permitidos: 3,7
Segmento: 3 | IDs permitidos: 3,7
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 4 | IDs permitidos: 
Segmento: 1 | IDs permitidos: 1,2,5,6,8,12,14,15,16,18,19
Segmento: 1 | IDs permitidos: 1,2,5,6,8,12,14,15,16,18,19
Segmento: 3 | IDs permitidos: 3,7
Segmento: 1 | IDs permitidos: 1,2,5,6,8,12,14,15,16,18,19
Segmento: 1 | IDs permitidos: 1,2,5,6,8,12,14,15,16,18,19
Segmento: 3 | IDs permitidos: 3,7
Segmento: 3 | IDs permitidos: 3,7
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 3 | IDs permitidos: 3,7
Segmento: 3 | IDs permitidos: 3,7
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 1 | IDs permitidos: 1,2,5,6,8,12,14,15,16,18,19
Segmento: 3 | IDs permitidos: 3,7
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 2 | IDs permitidos: 4,9,10,11,13,17
Segmento: 3 | IDs permitidos: 3,7
Segmento: 3 | IDs permitidos: 3,7
