CAPITAL,"$ 8,175,926.25",plazo,24,TNA,53.90%,,,T.E.M.,4.49%,78.83%,,CAPITAL,"$ 8,175,926.25",plazo,36,TNA,53.90%,,,T.E.M.,4.49%,,CAPITAL,"$ 8,175,926.25",plazo,48,TNA,53.90%,,,T.E.M.,4.49%
CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,59.56%,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO
,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,4.96%,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA
,,IVA,10.5%,,Promedio,"$ 586,968.40",,,,"-$ 8,175,926.25",,,,IVA,10.5%,,,"$ 474,637.44",,,,,,,IVA,10.5%,,," $  2,207,531.55 ",,,
1,"$ 8,175,926.25","$ 367,235.35","$ 38,559.71","$ 8,543,161.60","$ 563,563.87","$ 602,123.59","$ 196,328.52","$ 196,328.52","$ 7,979,597.73","$602,123.59",,1,"$ 8,175,926.25","$ 367,235.35","$ 38,559.71","$ 8,543,161.60","$ 462,290.42","$ 500,850.13","$ 95,055.07","$ 95,055.07","$ 8,080,871.18",,1,"$ 8,175,926.25","$ 367,235.35","$ 38,559.71","$ 8,543,161.60","$ 417,959.49","$ 456,519.21","$ 50,724.14","$ 50,724.14","$ 8,125,202.11"
2,"$ 7,979,597.73","$ 358,416.93","$ 37,633.78","$ 8,338,014.66","$ 563,563.87","$ 601,197.65","$ 205,146.94","$ 401,475.46","$ 7,774,450.79","$601,197.65",,2,"$ 8,080,871.18","$ 362,965.80","$ 38,111.41","$ 8,443,836.98","$ 462,290.42","$ 500,401.83","$ 99,324.62","$ 194,379.69","$ 7,981,546.56",,2,"$ 8,125,202.11","$ 364,956.99","$ 38,320.48","$ 8,490,159.11","$ 417,959.49","$ 456,279.98","$ 53,002.50","$ 103,726.64","$ 8,072,199.61"
3,"$ 7,774,450.79","$ 349,202.41","$ 36,666.25","$ 8,123,653.20","$ 563,563.87","$ 600,230.13","$ 214,361.46","$ 615,836.92","$ 7,560,089.33","$600,230.13",,3,"$ 7,981,546.56","$ 358,504.47","$ 37,642.97","$ 8,340,051.03","$ 462,290.42","$ 499,933.39","$ 103,785.95","$ 298,165.64","$ 7,877,760.61",,3,"$ 8,072,199.61","$ 362,576.30","$ 38,070.51","$ 8,434,775.91","$ 417,959.49","$ 456,030.01","$ 55,383.19","$ 159,109.83","$ 8,016,816.42"
4,"$ 7,560,089.33","$ 339,574.01","$ 35,655.27","$ 7,899,663.34","$ 563,563.87","$ 599,219.15","$ 223,989.86","$ 839,826.79","$ 7,336,099.46","$599,219.15",,4,"$ 7,877,760.61","$ 353,842.75","$ 37,153.49","$ 8,231,603.36","$ 462,290.42","$ 499,443.91","$ 108,447.67","$ 406,613.31","$ 7,769,312.94",,4,"$ 8,016,816.42","$ 360,088.67","$ 37,809.31","$ 8,376,905.09","$ 417,959.49","$ 455,768.80","$ 57,870.82","$ 216,980.66","$ 7,958,945.59"
5,"$ 7,336,099.46","$ 329,513.13","$ 34,598.88","$ 7,665,612.60","$ 563,563.87","$ 598,162.75","$ 234,050.74","$ 1,073,877.53","$ 7,102,048.72","$598,162.75",,5,"$ 7,769,312.94","$ 348,971.64","$ 36,642.02","$ 8,118,284.58","$ 462,290.42","$ 498,932.44","$ 113,318.78","$ 519,932.09","$ 7,655,994.16",,5,"$ 7,958,945.59","$ 357,489.31","$ 37,536.38","$ 8,316,434.90","$ 417,959.49","$ 455,495.87","$ 60,470.19","$ 277,450.84","$ 7,898,475.41"
6,"$ 7,102,048.72","$ 319,000.36","$ 33,495.04","$ 7,421,049.08","$ 563,563.87","$ 597,058.91","$ 244,563.52","$ 1,318,441.05","$ 6,857,485.20","$597,058.91",,6,"$ 7,655,994.16","$ 343,881.74","$ 36,107.58","$ 7,999,875.89","$ 462,290.42","$ 498,398.00","$ 118,408.68","$ 638,340.77","$ 7,537,585.48",,6,"$ 7,898,475.41","$ 354,773.19","$ 37,251.18","$ 8,253,248.59","$ 417,959.49","$ 455,210.68","$ 63,186.31","$ 340,637.15","$ 7,835,289.10"
7,"$ 6,857,485.20","$ 308,015.38","$ 32,341.61","$ 7,165,500.58","$ 563,563.87","$ 595,905.49","$ 255,548.50","$ 1,573,989.55","$ 6,601,936.70","$595,905.49",,7,"$ 7,537,585.48","$ 338,563.21","$ 35,549.14","$ 7,876,148.69","$ 462,290.42","$ 497,839.56","$ 123,727.21","$ 762,067.98","$ 7,413,858.27",,7,"$ 7,835,289.10","$ 351,935.07","$ 36,953.18","$ 8,187,224.17","$ 417,959.49","$ 454,912.68","$ 66,024.43","$ 406,661.58","$ 7,769,264.67"
